,datetime,core_temp,bark_temp
4649,2021-02-03,300.59,301.23999999999995
4648,2021-02-03,300.63,301.23999999999995
4647,2021-02-03,300.65,301.26
4646,2021-02-03,300.69,301.26
4645,2021-02-03,300.71,301.23999999999995
4644,2021-02-03,300.75,301.2
4643,2021-02-03,300.77,301.26
4642,2021-02-03,300.77,301.21999999999997
4641,2021-02-03,300.84,301.2
4640,2021-02-03,300.84,301.2
4639,2021-02-03,300.9,301.2
4638,2021-02-03,300.91999999999996,301.2
4637,2021-02-03,300.96,301.2
4636,2021-02-03,300.96,301.2
4635,2021-02-03,301.07,301.15999999999997
4634,2021-02-03,301.15,301.17999999999995
4633,2021-02-03,301.21,301.14
4632,2021-02-03,301.21,301.2
4631,2021-02-03,301.27,301.14
4630,2021-02-03,301.34,301.14
4629,2021-02-03,301.34,301.14
4628,2021-02-03,301.4,301.14
4627,2021-02-03,301.41999999999996,301.14
4626,2021-02-03,301.46,301.14
4625,2021-02-03,301.53,301.12
4624,2021-02-03,301.54999999999995,301.15999999999997
4623,2021-02-03,301.57,301.15999999999997
4622,2021-02-03,301.57,301.14
4621,2021-02-03,301.59,301.12
4620,2021-02-03,301.59,301.14
4619,2021-02-03,301.63,301.14
4618,2021-02-03,301.65,301.14
4617,2021-02-03,301.65,301.14
4616,2021-02-03,301.65,301.14
4615,2021-02-03,301.71,301.14
4614,2021-02-03,301.71,301.12
4613,2021-02-03,301.72999999999996,301.09999999999997
4612,2021-02-03,301.77,301.14
4611,2021-02-03,301.79999999999995,301.12
4610,2021-02-03,301.84,301.09999999999997
4609,2021-02-03,301.88,301.14
4608,2021-02-03,301.9,301.14
4607,2021-02-03,301.96,301.14
4606,2021-02-03,302.0,301.12
4605,2021-02-03,302.03,301.14
4604,2021-02-03,302.04999999999995,301.14
4603,2021-02-03,302.09,301.15999999999997
4602,2021-02-03,302.15,301.17999999999995
4601,2021-02-03,302.21,301.17999999999995
4600,2021-02-03,302.27,301.17999999999995
4599,2021-02-03,302.29999999999995,301.2
4598,2021-02-03,302.34,301.15999999999997
4597,2021-02-03,302.4,301.2
4596,2021-02-03,302.44,301.21999999999997
4595,2021-02-03,302.5,301.21999999999997
4594,2021-02-03,302.53,301.2
4593,2021-02-03,302.53,301.23999999999995
4592,2021-02-03,302.57,301.26
4591,2021-02-03,302.59,301.23999999999995
4590,2021-02-03,302.63,301.26
4589,2021-02-03,302.65,301.26
4588,2021-02-03,302.65,301.28999999999996
4587,2021-02-03,302.69,301.31
4586,2021-02-03,302.71,301.31
4585,2021-02-03,302.75,301.28999999999996
4584,2021-02-03,302.77,301.33
4583,2021-02-03,302.79999999999995,301.39
4582,2021-02-03,302.84,301.37
4581,2021-02-03,302.9,301.37
4580,2021-02-03,302.96,301.39
4579,2021-02-03,303.0,301.39
4578,2021-02-03,302.96,301.34999999999997
4577,2021-02-03,302.96,301.40999999999997
4576,2021-02-03,303.03,301.42999999999995
4575,2021-02-03,303.07,301.42999999999995
4574,2021-02-03,303.13,301.45
4573,2021-02-03,303.15,301.45
4572,2021-02-03,303.16999999999996,301.45
4571,2021-02-03,303.21,301.45
4570,2021-02-03,303.21,301.42999999999995
4569,2021-02-03,303.34,301.48999999999995
4568,2021-02-03,303.34,301.45
4567,2021-02-03,303.34,301.51
4566,2021-02-03,303.38,301.48999999999995
4565,2021-02-03,303.4,301.48999999999995
4564,2021-02-03,303.44,301.51
4563,2021-02-03,303.46,301.58
4562,2021-02-03,303.53,301.58
4561,2021-02-03,303.57,301.59999999999997
4560,2021-02-03,303.59,301.62
4559,2021-02-03,303.57,301.58
4558,2021-02-03,303.59,301.58
4557,2021-02-03,303.60999999999996,301.62
4556,2021-02-03,303.65,301.58
4555,2021-02-03,303.71,301.64
4554,2021-02-03,303.71,301.64
4553,2021-02-03,303.77,301.64
4552,2021-02-03,303.77,301.62
4551,2021-02-03,303.77,301.62
4550,2021-02-03,303.77,301.64
4549,2021-02-03,303.82,301.67999999999995
4548,2021-02-03,303.82,301.67999999999995
4547,2021-02-03,303.84,301.64
4546,2021-02-03,303.88,301.67999999999995
4545,2021-02-03,303.84,301.67999999999995
4544,2021-02-03,303.85999999999996,301.7
4543,2021-02-03,303.84,301.7
